FrameName;Sender;Listener
t1;[1, 1, 1, 1, 1, 1, 0, 0];[1, 0, 0, 0, 0, 0, 0, 0]
t18;[1, 1, 1, 1, 1, 1, 0, 0];[0, 1, 0, 0, 0, 0, 0, 0]
t4;[1, 1, 1, 1, 1, 1, 0, 0];[0, 0, 1, 0, 0, 0, 0, 0]
t13;[1, 1, 1, 1, 1, 1, 0, 0];[0, 0, 0, 1, 0, 0, 0, 0]
t6;[1, 1, 1, 1, 1, 1, 0, 0];[0, 0, 0, 0, 0, 1, 0, 0]
t10;[1, 1, 1, 1, 1, 1, 0, 0];[0, 0, 0, 0, 1, 0, 0, 0]
t15;[1, 1, 1, 1, 1, 1, 0, 0];[0, 0, 0, 0, 0, 0, 1, 0]
t2;[1, 1, 1, 1, 1, 1, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
t17;[1, 1, 1, 1, 1, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
t3;[1, 1, 1, 1, 1, 0, 0, 0];[0, 0, 0, 0, 0, 0, 1, 0]
t19;[1, 1, 1, 1, 1, 0, 0, 0];[0, 0, 0, 0, 1, 0, 0, 0]
t7;[1, 1, 1, 1, 1, 0, 0, 0];[0, 0, 0, 0, 0, 1, 0, 0]
t16;[1, 1, 1, 1, 1, 0, 0, 0];[0, 0, 0, 1, 0, 0, 0, 0]
t8;[1, 1, 1, 1, 1, 0, 0, 0];[0, 0, 1, 0, 0, 0, 0, 0]
t11;[1, 1, 1, 1, 1, 0, 0, 0];[0, 1, 0, 0, 0, 0, 0, 0]
t14;[1, 1, 1, 1, 1, 0, 0, 0];[1, 0, 0, 0, 0, 0, 0, 0]
t9;[1, 1, 0, 0, 0, 0, 0, 0];[0, 0, 1, 0, 0, 0, 0, 0]
t12;[1, 0, 0, 0, 0, 0, 0, 0];[0, 0, 1, 0, 0, 0, 0, 0]
t5;[1, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 1, 0, 0, 0, 0]
be;[1, 1, 0, 0, 0, 0, 0, 0];[0, 1, 0, 0, 0, 0, 0, 0]
dbe;[1, 0, 0, 0, 0, 0, 0, 0];[0, 1, 0, 0, 0, 0, 0, 0]
out;[0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 0]
